G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
8;0;86;636;0;0;6;19;25;1;2;6;1;21;18;2
249;38;153;468;278;726;12;20;32;5;4;6;7;20;50;2
265;58;164;481;150;760;15;27;43;5;3;5;8;23;76;2
119;8;156;586;0;626;14;29;43;8;4;5;10;19;69;2
55;3;139;545;0;707;9;23;32;5;7;16;6;26;29;2
641;624;345;533;244;762;26;61;88;15;9;14;26;34;216;2
135;16;103;547;0;581;9;17;27;1;2;8;5;19;22;2
1071;633;250;485;258;762;18;50;68;11;7;8;12;33;83;2
60;25;237;439;0;552;31;34;65;5;4;10;14;22;82;2
375;95;178;530;0;677;11;27;38;15;4;14;8;26;52;2
42;23;135;421;0;558;13;20;33;4;4;5;9;20;49;2
119;29;195;433;0;719;15;21;37;8;5;16;8;27;48;2
444;128;251;519;37;609;24;48;72;10;9;7;9;28;73;2
51;15;159;450;375;529;17;31;48;6;4;7;6;22;55;2
1088;912;295;474;137;414;32;65;96;13;13;20;10;19;57;2
14;0;120;414;0;478;9;19;28;2;5;4;11;16;25;2
19;0;58;444;0;417;8;12;21;0;2;8;3;7;15;2
43;5;147;507;0;652;15;21;36;3;5;4;5;14;46;2
137;29;144;511;0;624;13;21;34;3;3;12;9;24;42;2
361;104;155;462;222;740;15;29;43;5;5;4;8;20;45;2
